2021-01-27 05:07:17 INFO  LocationSearchAPI:44 - Where On Earth ID of Mumbai is [12586539]
2021-01-27 05:07:17 INFO  LocationDayAPI:39 - URL to be hit for location Mumbai: https://www.metaweather.com/api/location/12586539/2021/1/31
2021-01-27 05:07:18 INFO  LocationSearchAPI:40 - URL to be hit:https://www.metaweather.com/api/location/search/?query=Bangalore
2021-01-27 05:07:18 INFO  LocationSearchAPI:44 - Where On Earth ID of Bangalore is [2295420]
2021-01-27 05:07:18 INFO  LocationDayAPI:39 - URL to be hit for location Bangalore: https://www.metaweather.com/api/location/2295420/2021/1/31
2021-01-27 05:07:19 INFO  LocationSearchAPI:40 - URL to be hit:https://www.metaweather.com/api/location/search/?query=Nottingham
2021-01-27 05:07:20 INFO  LocationSearchAPI:44 - Where On Earth ID of Nottingham is [30720]
2021-01-27 05:07:20 INFO  LocationDayAPI:65 - URL to be hit for location Nottingham: https://www.metaweather.com/api/location/30720/2021/1/30
2021-01-27 05:07:21 INFO  LocationSearchAPI:40 - URL to be hit:https://www.metaweather.com/api/location/search/?query=Bangalore
2021-01-27 05:07:21 INFO  LocationSearchAPI:44 - Where On Earth ID of Bangalore is [2295420]
2021-01-27 05:07:21 INFO  LocationDayAPI:65 - URL to be hit for location Bangalore: https://www.metaweather.com/api/location/2295420/2021/1/31
2021-01-27 05:07:23 INFO  LocationSearchAPI:40 - URL to be hit:https://www.metaweather.com/api/location/search/?query=Delhi
2021-01-27 05:07:23 INFO  LocationSearchAPI:44 - Where On Earth ID of Delhi is [28743736]
2021-01-27 05:07:23 INFO  LocationDayAPI:65 - URL to be hit for location Delhi: https://www.metaweather.com/api/location/28743736/20211/1/31
2021-01-27 05:07:24 INFO  LocationSearchAPI:40 - URL to be hit:https://www.metaweather.com/api/location/search/?query=Nottingham
2021-01-27 05:07:25 INFO  LocationSearchAPI:44 - Where On Earth ID of Nottingham is [30720]
2021-01-27 05:07:25 INFO  LocationDayAPI:39 - URL to be hit for location Nottingham: https://www.metaweather.com/api/location/30720/2021/1/30
2021-01-27 05:07:26 INFO  LocationSearchAPI:40 - URL to be hit:https://www.metaweather.com/api/location/search/?query=Bangalore
2021-01-27 05:07:27 INFO  LocationSearchAPI:44 - Where On Earth ID of Bangalore is [2295420]
2021-01-27 05:07:27 INFO  LocationDayAPI:39 - URL to be hit for location Bangalore: https://www.metaweather.com/api/location/2295420/2021/1/31
